crop_name,variety_name,crop_type,growth_stage,soil_type,soil_texture,soil_pH,soil_organic_matter_pct,soil_nitrogen,soil_phosphorus,soil_potassium,soil_salinity,weather_temp_C,weather_min_temp_C,weather_max_temp_C,weather_rainfall_mm,weather_humidity_pct,weather_wind_speed_kmph,weather_sunlight_hours,irrigation_type,irrigation_frequency_per_week,irrigation_volume_liters_per_hectare,recommended_crop,recommended_variety,fertilizer_type,fertilizer_brand,fertilizer_dosage_kg_per_hectare,fertilizer_application_stage,pest_disease_detected,disease_severity,treatment_suggested,treatment_method,yield_prediction_kg_per_hectare,expected_yield_range,harvest_time_days,harvest_method,post_harvest_storage,market_price_per_kg,market_demand_index,budget_estimate_usd,cost_breakdown_fertilizer_usd,cost_breakdown_labor_usd,cost_breakdown_irrigation_usd,profit_prediction_usd,gm_crop,gm_trait,planting_strategy_notes,sustainability_score,last_updated
Barley,Barley_Variety_3,Legume,Seeding,Loamy,Medium,6.95,2.21,78,42,9,0.78,20.2,17.948399711138578,23.860635639543737,410.1,46.5,15.9,10.2,Drip,7,3273.3,Barley,Barley_Variety_2,NPK,Brand_3,255.9,Pre-plant,None,None,None,None,1436.7,1293-1580,200,Mechanical,Warehouse,30.36,0.48,7105.04,1894.83,1014.5,578.72,36513.17,Yes,High Yield,Plant Barley in Loamy soil with Drip irrigation.,0.93,2024-05-06
Maize,Maize_Variety_1,Fiber,Flowering,Silty,Medium,7.51,2.98,3,87,81,0.94,20.3,16.588485021970165,23.02201590264463,276.0,51.2,18.3,6.0,Manual,1,1281.3,Maize,Maize_Variety_4,Compost,Brand_10,211.1,Pre-plant,None,None,None,None,7371.9,6634-8109,119,Manual,Open Shed,37.33,0.57,9611.78,531.25,2812.7,699.61,265581.25,Yes,None,Plant Maize in Silty soil with Manual irrigation.,0.7,2024-08-02
Rice,Rice_Variety_4,Legume,Flowering,Peaty,Coarse,6.54,4.94,97,49,44,1.21,22.2,17.407924850723326,25.902190716535124,816.8,44.2,6.5,4.9,Surface,4,2179.6,Sugarcane,Sugarcane_Variety_1,DAP,Brand_9,125.4,Pre-plant,Blight,High,Fungicide B,Spray,3174.4,2856-3491,160,Mechanical,Open Shed,17.35,0.19,11606.35,652.67,1097.43,1041.13,43469.49,Yes,None,Plant Rice in Peaty soil with Surface irrigation.,0.6,2024-10-28
Soybean,Soybean_Variety_1,Fiber,Flowering,Peaty,Fine,7.11,2.04,61,77,14,0.82,24.2,21.97969055597569,28.581823689776087,1053.4,63.2,5.0,8.0,Surface,1,683.9,Maize,Maize_Variety_3,DAP,Brand_3,110.6,Post-emergence,Blight,None,Fungicide B,Spray,6655.8,5990-7321,168,Mechanical,Open Shed,43.16,0.13,13845.02,1729.54,4011.94,652.6,273419.31,No,None,Plant Soybean in Peaty soil with Surface irrigation.,0.91,2024-11-26
Potato,Potato_Variety_4,Tuber,Vegetative,Loamy,Fine,5.65,3.69,33,74,36,1.25,17.6,13.859291609844846,20.585030670338405,643.3,64.4,4.3,9.0,Drip,6,1736.3,Potato,Potato_Variety_2,Compost,Brand_4,221.3,Flowering,Leaf Spot,Low,Fungicide B,Soil Drench,6492.4,5843-7141,154,Manual,Open Shed,24.14,0.38,8314.4,1847.12,4665.82,1112.93,148412.14,Yes,None,Plant Potato in Loamy soil with Drip irrigation.,0.02,2024-08-02
Maize,Maize_Variety_2,Cereal,Vegetative,Silty,Coarse,6.24,3.56,80,81,80,0.17,18.8,15.636312173016933,22.671784859961367,1060.5,65.6,19.2,5.3,Surface,1,2602.8,Barley,Barley_Variety_2,Vermicompost,Brand_10,162.6,Pre-plant,Aphids,None,None,Spray,6681.7,6013-7349,170,Manual,Warehouse,6.41,0.7,9397.62,596.66,2467.8,791.26,33432.08,No,None,Plant Maize in Silty soil with Surface irrigation.,0.33,2024-06-08
Barley,Barley_Variety_1,Tuber,Seeding,Loamy,Fine,7.23,3.89,49,0,29,0.54,19.4,17.03298208618937,23.753550768904454,249.5,43.5,3.6,8.2,Sprinkler,6,3051.0,Barley,Barley_Variety_2,Compost,Brand_7,213.6,Post-emergence,Root Rot,None,None,Spray,7413.2,6671-8154,80,Mechanical,Open Shed,35.01,0.48,16792.48,1695.31,4665.36,1068.64,242743.65,No,None,Plant Barley in Loamy soil with Sprinkler irrigation.,0.03,2024-05-20
Potato,Potato_Variety_5,Legume,Flowering,Chalky,Fine,7.17,1.47,67,13,63,1.26,30.7,28.15173001294558,34.52360717172313,716.8,69.6,9.0,11.7,Sprinkler,2,3259.3,Potato,Potato_Variety_2,MOP,Brand_8,65.3,Pre-plant,None,None,None,None,1380.1,1242-1518,84,Mechanical,Warehouse,44.68,0.92,16154.01,1862.79,3072.53,881.49,45508.86,Yes,High Yield,Plant Potato in Chalky soil with Sprinkler irrigation.,0.79,2024-05-08
Soybean,Soybean_Variety_3,Fiber,Harvesting,Sandy,Coarse,5.63,3.16,15,72,73,0.39,24.7,20.081082593586487,28.256088506050652,755.8,45.2,9.7,5.7,Sprinkler,5,3498.2,Rice,Rice_Variety_4,Vermicompost,Brand_2,225.2,Post-emergence,Aphids,None,Biological Control,Spray,4267.1,3840-4693,153,Mechanical,Open Shed,8.81,0.0,15684.28,1935.46,4288.26,969.21,21908.87,Yes,High Yield,Plant Soybean in Sandy soil with Sprinkler irrigation.,0.86,2024-09-17
Barley,Barley_Variety_4,Legume,Flowering,Clay,Fine,7.94,3.96,37,5,50,1.11,21.1,16.56256956096073,24.60596761241499,1113.3,38.1,19.1,4.9,Drip,7,2581.0,Rice,Rice_Variety_4,MOP,Brand_2,67.0,Pre-plant,Blight,Low,Pesticide A,Spray,3929.6,3536-4322,105,Manual,Cold Storage,21.5,0.78,14141.37,967.48,3324.91,798.35,70345.03,No,None,Plant Barley in Clay soil with Drip irrigation.,0.04,2024-06-10
Potato,Potato_Variety_1,Cereal,Harvesting,Silty,Coarse,6.08,3.52,84,45,83,0.59,28.7,23.762103556363463,33.32867759453217,1033.8,83.9,2.7,8.3,Manual,4,4309.5,Soybean,Soybean_Variety_3,DAP,Brand_8,195.2,Pre-plant,None,None,None,None,5878.3,5290-6466,156,Mechanical,Open Shed,28.03,0.49,5686.87,1245.31,3761.55,796.01,159081.88,Yes,High Yield,Plant Potato in Silty soil with Manual irrigation.,0.82,2025-02-05
Potato,Potato_Variety_5,Legume,Harvesting,Sandy,Fine,6.65,3.07,63,75,47,0.5,37.5,34.32146647903063,41.2066674435524,644.5,54.5,14.7,6.9,Manual,6,1892.5,Barley,Barley_Variety_1,Vermicompost,Brand_10,297.6,Pre-plant,Root Rot,None,Neem Oil,Seed Treatment,6921.1,6228-7613,157,Mechanical,Cold Storage,42.08,0.37,6497.89,891.01,3263.01,980.65,284742.0,No,None,Plant Potato in Sandy soil with Manual irrigation.,0.73,2024-08-02
Barley,Barley_Variety_2,Cereal,Vegetative,Chalky,Coarse,7.67,2.26,42,94,44,1.32,22.6,20.424548892391634,25.251117299109094,1095.3,88.1,19.5,11.7,Sprinkler,1,3694.5,Maize,Maize_Variety_1,Urea,Brand_1,280.5,Flowering,Aphids,None,Neem Oil,Soil Drench,1699.5,1529-1869,81,Mechanical,Open Shed,28.22,0.88,12568.77,1891.71,1249.94,867.96,35391.12,No,None,Plant Barley in Chalky soil with Sprinkler irrigation.,0.96,2024-12-17
Wheat,Wheat_Variety_2,Cereal,Flowering,Peaty,Medium,6.91,1.91,40,41,25,1.31,26.6,23.92317206109781,30.848580733478666,856.3,31.3,2.5,4.9,Drip,4,2652.7,Soybean,Soybean_Variety_2,Urea,Brand_8,170.1,Post-emergence,Aphids,High,Neem Oil,Spray,6921.1,6228-7613,160,Mechanical,Open Shed,24.78,0.06,13133.99,1022.43,3951.62,1211.88,158370.87,Yes,None,Plant Wheat in Peaty soil with Drip irrigation.,0.53,2024-08-02
Sugarcane,Sugarcane_Variety_3,Tuber,Harvesting,Silty,Fine,6.12,1.69,29,41,26,1.47,20.0,17.43666062098138,24.414586089824468,1067.4,43.0,10.4,4.1,Surface,3,2529.0,Maize,Maize_Variety_5,MOP,Brand_2,76.8,Flowering,Aphids,High,Fungicide B,Seed Treatment,6156.6,5540-6772,90,Manual,Warehouse,39.43,0.87,10277.9,1381.56,4093.41,1323.4,232476.84,Yes,High Yield,Plant Sugarcane in Silty soil with Surface irrigation.,0.62,2025-03-23
Potato,Potato_Variety_4,Tuber,Flowering,Silty,Fine,5.62,2.66,78,36,31,1.29,26.9,23.53518288083294,29.49495040139665,1171.8,57.6,0.4,9.9,Surface,6,1577.9,Potato,Potato_Variety_4,DAP,Brand_7,73.0,Pre-plant,Blight,None,Neem Oil,Soil Drench,3106.3,2795-3416,193,Mechanical,Warehouse,42.06,0.98,12327.41,1054.98,4789.41,735.5,118323.57,No,None,Plant Potato in Silty soil with Surface irrigation.,0.27,2024-10-17
Sugarcane,Sugarcane_Variety_5,Tuber,Flowering,Peaty,Coarse,6.74,4.53,76,25,13,0.59,32.2,29.499476557395553,36.23429456712783,1015.2,50.1,14.0,7.9,Sprinkler,4,2852.9,Sugarcane,Sugarcane_Variety_1,NPK,Brand_2,263.7,Post-emergence,Leaf Spot,High,None,Spray,5399.4,4859-5939,137,Manual,Open Shed,22.35,0.95,16853.14,1373.99,3249.11,1464.58,103823.45,No,None,Plant Sugarcane in Peaty soil with Sprinkler irrigation.,0.72,2024-09-23
Soybean,Soybean_Variety_3,Fiber,Seeding,Sandy,Coarse,7.63,2.46,44,95,5,1.18,18.3,16.08405862361679,20.77687012365474,412.5,54.8,19.7,9.8,Sprinkler,4,3064.9,Barley,Barley_Variety_5,MOP,Brand_4,148.9,Flowering,None,None,None,None,5493.0,4943-6042,160,Manual,Open Shed,35.63,0.78,11531.19,1277.02,1707.13,900.66,184184.4,No,None,Plant Soybean in Sandy soil with Sprinkler irrigation.,0.58,2024-12-09
Wheat,Wheat_Variety_3,Cereal,Flowering,Peaty,Medium,6.42,1.35,31,44,4,1.1,30.2,27.388785699428343,35.172712729166975,817.0,77.7,2.9,10.6,Sprinkler,6,4995.0,Cotton,Cotton_Variety_4,MOP,Brand_5,183.6,Post-emergence,None,None,None,None,5446.2,4901-5990,155,Mechanical,Open Shed,25.41,0.32,7913.51,1584.33,2512.95,1116.99,130474.43,Yes,Drought Resistance,Plant Wheat in Peaty soil with Sprinkler irrigation.,0.32,2024-06-18
Barley,Barley_Variety_3,Legume,Harvesting,Clay,Coarse,7.98,1.08,2,25,84,0.59,22.4,17.65550945812989,25.27437989820254,1092.8,66.9,12.2,11.2,Sprinkler,5,1598.8,Maize,Maize_Variety_4,NPK,Brand_4,86.5,Post-emergence,Blight,Low,Neem Oil,Spray,2362.1,2125-2598,133,Manual,Warehouse,49.16,0.34,13767.87,1540.92,4480.13,1217.56,102352.97,Yes,High Yield,Plant Barley in Clay soil with Sprinkler irrigation.,0.31,2024-04-19
Soybean,Soybean_Variety_2,Fiber,Harvesting,Silty,Fine,5.61,4.12,20,81,87,1.12,34.5,31.588669947255053,37.097613996434426,568.4,45.5,4.5,7.8,Manual,5,570.3,Rice,Rice_Variety_4,Compost,Brand_4,223.9,Pre-plant,Stem Borer,High,Neem Oil,Seed Treatment,1590.1,1431-1749,94,Mechanical,Cold Storage,37.19,0.59,7232.8,652.89,2529.7,641.17,51903.02,No,None,Plant Soybean in Silty soil with Manual irrigation.,0.6,2024-11-18
Potato,Potato_Variety_2,Tuber,Seeding,Sandy,Coarse,6.43,3.0,28,20,45,0.5,19.4,14.54132175317165,23.08300885892735,1006.7,56.5,19.1,10.7,Sprinkler,2,2047.0,Potato,Potato_Variety_4,Compost,Brand_9,215.3,Pre-plant,Root Rot,None,Pesticide A,Seed Treatment,3656.3,3290-4021,151,Manual,Open Shed,25.09,0.72,13081.19,912.97,1472.85,1297.99,78655.38,Yes,High Yield,Plant Potato in Sandy soil with Sprinkler irrigation.,0.7,2024-09-09
Soybean,Soybean_Variety_4,Tuber,Harvesting,Clay,Coarse,7.09,1.13,70,23,62,0.86,26.0,22.024150437511963,29.215105393249768,618.4,37.8,15.0,9.3,Sprinkler,3,4914.9,Potato,Potato_Variety_3,Vermicompost,Brand_7,264.7,Flowering,None,None,None,None,5991.9,5392-6591,130,Mechanical,Cold Storage,32.14,0.51,5214.76,1649.66,1480.93,1454.28,187364.91,Yes,High Yield,Plant Soybean in Clay soil with Sprinkler irrigation.,0.37,2025-01-08
Wheat,Wheat_Variety_4,Legume,Vegetative,Loamy,Coarse,6.2,2.55,100,81,49,1.48,39.4,35.21978003743379,44.20663621245281,734.7,86.6,14.6,9.0,Surface,2,3276.6,Maize,Maize_Variety_4,Vermicompost,Brand_4,288.4,Flowering,Root Rot,High,None,Soil Drench,4605.3,4144-5065,83,Manual,Open Shed,39.88,0.31,17332.21,1149.64,3221.91,894.69,166327.15,No,None,Plant Wheat in Loamy soil with Surface irrigation.,0.23,2024-09-20
Sugarcane,Sugarcane_Variety_3,Legume,Vegetative,Chalky,Fine,7.63,3.17,7,26,90,0.47,34.6,32.554878102879215,37.03898573184343,1060.1,58.1,0.1,5.0,Manual,2,2154.4,Soybean,Soybean_Variety_1,NPK,Brand_3,130.9,Flowering,None,None,None,None,4654.8,4189-5120,171,Mechanical,Open Shed,49.74,0.9,19904.82,1994.27,4907.51,1437.56,211624.93,Yes,None,Plant Sugarcane in Chalky soil with Manual irrigation.,0.24,2025-01-29
Cotton,Cotton_Variety_3,Legume,Vegetative,Silty,Fine,7.06,1.27,79,48,65,0.37,15.8,10.98524193724523,20.38215235479084,205.2,67.4,0.5,7.7,Surface,6,2241.6,Maize,Maize_Variety_2,MOP,Brand_4,82.7,Flowering,Root Rot,Low,Biological Control,Soil Drench,1678.7,1510-1846,111,Mechanical,Warehouse,47.89,0.68,15064.32,1127.62,4109.97,1426.99,65328.62,No,None,Plant Cotton in Silty soil with Surface irrigation.,0.06,2025-01-12
Wheat,Wheat_Variety_1,Fiber,Harvesting,Silty,Fine,5.97,1.87,6,100,65,0.77,38.2,33.27469522346034,42.18140439485785,935.0,88.5,0.9,11.4,Sprinkler,4,3684.9,Cotton,Cotton_Variety_4,Compost,Brand_8,79.4,Flowering,Blight,None,Neem Oil,Spray,2166.2,1949-2382,92,Mechanical,Open Shed,36.51,0.26,8625.33,1911.11,4813.07,1264.48,70462.63,No,None,Plant Wheat in Silty soil with Sprinkler irrigation.,0.37,2025-02-02
Barley,Barley_Variety_3,Cereal,Seeding,Peaty,Fine,6.17,4.78,95,81,15,0.21,32.8,29.583215960912604,37.62271224331571,699.8,75.1,8.4,6.1,Manual,1,4286.5,Soybean,Soybean_Variety_3,Vermicompost,Brand_10,269.8,Post-emergence,Blight,High,Fungicide B,Soil Drench,1722.4,1550-1894,81,Mechanical,Open Shed,16.53,0.45,6699.56,594.07,3402.6,761.3,21771.71,Yes,None,Plant Barley in Peaty soil with Manual irrigation.,0.88,2024-12-23
Barley,Barley_Variety_1,Fiber,Seeding,Loamy,Coarse,5.82,3.63,81,1,6,0.46,19.7,15.725731909808827,23.19499503897017,804.3,61.6,17.4,11.7,Surface,4,3763.3,Potato,Potato_Variety_4,MOP,Brand_1,103.0,Pre-plant,Root Rot,Low,Biological Control,Seed Treatment,4129.5,3716-4542,128,Manual,Warehouse,35.73,0.75,5889.48,822.25,1108.89,1133.1,141657.55,Yes,Pest Resistance,Plant Barley in Loamy soil with Surface irrigation.,0.68,2024-11-15
